GameKey,SeasonType,Season,Week,Date,AwayTeam,HomeTeam,AwayScore,HomeScore,Channel,PointSpread,OverUnder,Quarter,TimeRemaining,Possession,Down,Distance,YardLine,YardLineTerritory,RedZone,AwayScoreQuarter1,AwayScoreQuarter2,AwayScoreQuarter3,AwayScoreQuarter4,AwayScoreOvertime,HomeScoreQuarter1,HomeScoreQuarter2,HomeScoreQuarter3,HomeScoreQuarter4,HomeScoreOvertime,HasStarted,IsInProgress,IsOver,Has1stQuarterStarted,Has2ndQuarterStarted,Has3rdQuarterStarted,Has4thQuarterStarted,IsOvertime,DownAndDistance,QuarterDescription,StadiumID,LastUpdated,GeoLat,GeoLong,ForecastTempLow,ForecastTempHigh,ForecastDescription,ForecastWindChill,ForecastWindSpeed,AwayTeamMoneyLine,HomeTeamMoneyLine,Canceled,Closed
201610110,1,2016,1,9/8/2016 8:30:00 PM,CAR,DEN,20,21,,3.0,40.5,F,,,,,,,,7,10,0,3,0,0,7,0,14,0,True,False,True,True,True,True,True,False,,Final,13,9/14/2016 3:14:51 PM,39.743936,-105.020097,56,89,Sunny,82,4,-155,135,False,True
201610115,1,2016,1,9/11/2016 1:00:00 PM,GB,JAX,27,23,,3.5,47.0,F,,,,,,,,7,14,3,3,0,7,10,3,3,0,True,False,True,True,True,True,True,False,,Final,10,9/15/2016 2:35:02 AM,30.323813,-81.637199,74,92,Partly Cloudy,73,7,-200,160,False,True
201610103,1,2016,1,9/11/2016 1:00:00 PM,BUF,BAL,7,13,,-3.0,44.5,F,,,,,,,,0,7,0,0,0,3,7,0,3,0,True,False,True,True,True,True,True,False,,Final,7,9/15/2016 2:35:17 AM,39.277985,-76.622788,65,81,Mostly Sunny,77,14,130,-150,False,True
201610113,1,2016,1,9/11/2016 1:00:00 PM,CHI,HOU,14,23,,-6.0,42.5,F,,,,,,,,7,7,0,0,0,0,10,3,10,0,True,False,True,True,True,True,True,False,,Final,11,9/15/2016 2:35:33 AM,29.684543,-95.410932,74,87,Thunderstorms,73,11,220,-270,False,True
201610126,1,2016,1,9/11/2016 1:00:00 PM,CLE,PHI,10,29,,-4.0,41.5,F,,,,,,,,0,7,3,0,0,7,6,9,7,0,True,False,True,True,True,True,True,False,,Final,18,9/15/2016 2:35:50 AM,39.900771,-75.167469,71,86,Thunderstorms,79,18,163,-200,False,True
201610102,1,2016,1,9/11/2016 1:00:00 PM,TB,ATL,31,24,,-2.5,46.5,F,,,,,,,,3,14,14,0,0,10,3,8,3,0,True,False,True,True,True,True,True,False,,Final,25,9/15/2016 2:36:12 AM,33.757614,-84.400972,72,89,Thunderstorms,73,11,115,-135,False,True
201610134,1,2016,1,9/11/2016 1:00:00 PM,MIN,TEN,25,16,,2.5,40.5,F,,,,,,,,0,0,12,13,0,3,7,0,6,0,True,False,True,True,True,True,True,False,,Final,12,9/15/2016 2:36:30 AM,36.166441,-86.771253,62,82,Mostly Sunny,63,7,-145,125,False,True
201610124,1,2016,1,9/11/2016 1:00:00 PM,CIN,NYJ,23,22,,1.0,42.0,F,,,,,,,,3,10,7,3,0,7,9,0,6,0,True,False,True,True,True,True,True,False,,Final,3,9/15/2016 2:36:48 AM,40.813611,-74.074444,70,83,Thunderstorms,79,14,-115,-105,False,True
201610122,1,2016,1,9/11/2016 1:00:00 PM,OAK,NO,35,34,,-3.0,50.5,F,,,,,,,,10,0,3,22,0,3,14,7,10,0,True,False,True,True,True,True,True,False,,Final,27,9/15/2016 2:37:08 AM,29.950931,-90.081364,78,88,Thunderstorms,77,7,130,-150,False,True
201610116,1,2016,1,9/11/2016 1:00:00 PM,SD,KC,27,33,,-6.5,45.5,F/OT,,,,,,,,7,14,3,3,0,3,0,7,17,6,True,False,True,True,True,True,True,True,,Final/OT,15,9/15/2016 2:37:29 AM,39.049002,-94.483864,57,77,Sunny,61,7,250,-300,False,True
201610130,1,2016,1,9/11/2016 4:05:00 PM,MIA,SEA,10,12,,-10.5,44.0,F,,,,,,,,0,3,0,7,0,3,3,0,6,0,True,False,True,True,True,True,True,False,,Final,31,9/15/2016 2:37:46 AM,47.595153,-122.331625,57,66,Partly Cloudy,59,11,375,-500,False,True
201610114,1,2016,1,9/11/2016 4:25:00 PM,DET,IND,39,35,,-2.5,51.0,F,,,,,,,,7,14,7,11,0,0,10,8,17,0,True,False,True,True,True,True,True,False,,Final,9,9/15/2016 2:38:13 AM,39.760056,-86.163806,58,74,Sunny,57,7,120,-141,False,True
201610109,1,2016,1,9/11/2016 4:25:00 PM,NYG,DAL,20,19,,1.0,48.0,F,,,,,,,,0,13,0,7,0,3,6,7,3,0,True,False,True,True,True,True,True,False,,Final,17,9/15/2016 2:38:33 AM,32.747778,-97.092778,65,87,Sunny,64,7,-120,100,False,True
201610101,1,2016,1,9/11/2016 8:30:00 PM,NE,ARI,23,21,,-9.5,44.5,F,,,,,,,,10,0,7,6,0,0,7,7,7,0,True,False,True,True,True,True,True,False,,Final,29,9/15/2016 2:38:55 AM,33.527558,-112.263036,80,104,Sunny,100,14,320,-400,False,True
201610135,1,2016,1,9/12/2016 7:10:00 PM,PIT,WAS,38,16,,2.5,49.0,F,,,,,,,,0,14,10,14,0,6,0,3,7,0,True,False,True,True,True,True,True,False,,Final,19,9/15/2016 2:39:20 AM,38.907652,-76.864479,65,82,Mostly Sunny,64,11,-140,120,False,True
201610131,1,2016,1,9/12/2016 10:20:00 PM,LA,SF,0,28,,2.5,43.0,F,,,,,,,,0,0,0,0,0,7,7,0,14,0,True,False,True,True,True,True,True,False,,Final,37,9/15/2016 2:39:41 AM,37.404108,-121.970274,55,72,Partly Cloudy,66,14,-145,125,False,True
201620014,2,2016,0,8/7/2016 8:00:00 PM,GB,IND,,,,-3.0,34.0,F,,,,,,,,,,,,0,,,,,0,True,False,True,True,True,True,True,False,,Final,9,,,,,,,,,,,True,False
201620102,2,2016,1,8/11/2016 7:00:00 PM,WAS,ATL,17,23,,-3.0,37.0,F,,,,,,,,3,0,7,7,0,0,13,10,0,0,True,False,True,True,True,True,True,False,,Final,25,8/17/2016 11:09:56 PM,,,,,,,,135,-165,False,False
201620126,2,2016,1,8/11/2016 7:00:00 PM,TB,PHI,9,17,,-3.0,37.0,F,,,,,,,,6,0,0,3,0,14,0,0,3,0,True,False,True,True,True,True,True,False,,Final,18,8/17/2016 11:17:16 PM,,,,,,,,133,-170,False,False
201620121,2,2016,1,8/11/2016 7:30:00 PM,NO,NE,22,34,,-3.5,38.0,F,,,,,,,,8,8,0,6,0,8,9,7,10,0,True,False,True,True,True,True,True,False,,Final,4,8/17/2016 11:15:36 PM,,,,,,,,150,-172,False,False
201620103,2,2016,1,8/11/2016 7:30:00 PM,CAR,BAL,19,22,,1.0,36.5,F,,,,,,,,10,3,3,3,0,0,14,8,0,0,True,False,True,True,True,True,True,False,,Final,7,8/17/2016 11:10:28 PM,,,,,,,,-125,105,False,False
201620124,2,2016,1,8/11/2016 7:30:00 PM,JAX,NYJ,13,17,,-3.0,36.5,F,,,,,,,,10,3,0,0,0,0,14,3,0,0,True,False,True,True,True,True,True,False,,Final,3,8/17/2016 11:16:38 PM,,,,,,,,150,-170,False,False
201620106,2,2016,1,8/11/2016 8:00:00 PM,DEN,CHI,22,0,,-1.0,35.5,F,,,,,,,,7,13,2,0,0,0,0,0,0,0,True,False,True,True,True,True,True,False,,Final,20,8/17/2016 11:11:29 PM,,,,,,,,100,-120,False,False
201620123,2,2016,1,8/12/2016 7:00:00 PM,MIA,NYG,27,10,,-2.5,36.5,F,,,,,,,,0,17,3,7,0,10,0,0,0,0,True,False,True,True,True,True,True,False,,Final,3,8/17/2016 11:16:10 PM,,,,,,,,120,-140,False,False
201620128,2,2016,1,8/12/2016 7:00:00 PM,DET,PIT,30,17,,-3.0,35.5,F,,,,,,,,0,13,3,14,0,0,14,0,3,0,True,False,True,True,True,True,True,False,,Final,8,8/17/2016 11:18:07 PM,,,,,,,,145,-165,False,False
201620107,2,2016,1,8/12/2016 7:30:00 PM,MIN,CIN,17,16,,0.0,35.0,F,,,,,,,,0,10,7,0,0,0,7,0,9,0,True,False,True,True,True,True,True,False,,Final,5,8/17/2016 11:11:55 PM,,,,,,,,-110,-110,False,False
201620112,2,2016,1,8/12/2016 8:00:00 PM,CLE,GB,11,17,,1.5,35.0,F,,,,,,,,2,3,6,0,0,3,7,3,4,0,True,False,True,True,True,True,True,False,,Final,22,8/17/2016 11:12:30 PM,,,,,,,,-118,105,False,False
201620101,2,2016,1,8/12/2016 10:00:00 PM,OAK,ARI,31,10,,-3.0,37.5,F,,,,,,,,17,0,7,7,0,3,7,0,0,0,True,False,True,True,True,True,True,False,,Final,29,8/17/2016 11:09:21 PM,,,,,,,,125,-150,False,False
201620116,2,2016,1,8/13/2016 4:30:00 PM,SEA,KC,17,16,,-3.5,36.0,F,,,,,,,,0,3,3,11,0,7,6,3,0,0,True,False,True,True,True,True,True,False,,Final,15,8/17/2016 11:13:59 PM,,,,,,,,155,-175,False,False
201620104,2,2016,1,8/13/2016 7:00:00 PM,IND,BUF,19,18,,-2.5,36.0,F,,,,,,,,0,9,0,10,0,9,0,3,6,0,True,False,True,True,True,True,True,False,,Final,1,8/17/2016 11:11:01 PM,,,,,,,,125,-145,False,False
201620132,2,2016,1,8/13/2016 8:00:00 PM,DAL,LA,24,28,,-6.0,35.5,F,,,,,,,,14,10,0,0,0,7,0,7,14,0,True,False,True,True,True,True,True,False,,Final,38,8/17/2016 11:14:30 PM,,,,,,,,205,-245,False,False
201620134,2,2016,1,8/13/2016 8:00:00 PM,SD,TEN,10,27,,-3.0,36.5,F,,,,,,,,7,3,0,0,0,10,7,0,10,0,True,False,True,True,True,True,True,False,,Final,12,8/17/2016 11:20:11 PM,,,,,,,,130,-150,False,False
201620131,2,2016,1,8/14/2016 7:00:00 PM,HOU,SF,24,13,,-3.0,38.5,F,,,,,,,,7,0,10,7,0,10,3,0,0,0,True,False,True,True,True,True,True,False,,Final,37,8/17/2016 11:19:16 PM,,,,,,,,130,-150,False,False
201620228,2,2016,2,8/18/2016 7:00:00 PM,PHI,PIT,17,0,,-2.5,38.0,F,,,,,,,,7,3,7,0,0,0,0,0,0,0,True,False,True,True,True,True,True,False,,Final,8,8/21/2016 10:51:17 PM,,,,,,,,120,-140,False,False
201620211,2,2016,2,8/18/2016 7:30:00 PM,CIN,DET,30,14,,-1.5,41.5,F,,,,,,,,7,13,0,10,0,3,3,0,8,0,True,False,True,True,True,True,True,False,,Final,21,8/21/2016 10:51:26 PM,,,,,,,,105,-125,False,False
201620221,2,2016,2,8/18/2016 8:00:00 PM,CHI,NE,22,23,,-3.0,41.5,F,,,,,,,,11,0,0,11,0,0,17,6,0,0,True,False,True,True,True,True,True,False,,Final,4,8/21/2016 10:51:56 PM,,,,,,,,160,-185,False,False
201620208,2,2016,2,8/18/2016 8:00:00 PM,ATL,CLE,24,13,,-1.5,38.5,F,,,,,,,,7,3,7,7,0,7,6,0,0,0,True,False,True,True,True,True,True,False,,Final,6,8/21/2016 10:51:37 PM,,,,,,,,102,-115,False,False
201620212,2,2016,2,8/18/2016 8:00:00 PM,OAK,GB,12,20,,-3.0,42.5,F,,,,,,,,3,0,0,9,0,7,0,10,3,0,True,False,True,True,True,True,True,False,,Final,22,8/21/2016 10:51:46 PM,,,,,,,,117,-150,False,False
201620230,2,2016,2,8/18/2016 10:00:00 PM,MIN,SEA,18,11,,-2.5,39.0,F,,,,,,,,0,11,0,7,0,0,0,0,11,0,True,False,True,True,True,True,True,False,,Final,31,8/21/2016 10:52:09 PM,,,,,,,,125,-145,False,False
201620235,2,2016,2,8/19/2016 7:30:00 PM,NYJ,WAS,18,22,,-3.0,38.5,F,,,,,,,,0,2,7,9,0,0,14,0,8,0,True,False,True,True,True,True,True,False,,Final,19,8/21/2016 10:52:28 PM,,,,,,,,155,-175,False,False
201620209,2,2016,2,8/19/2016 8:00:00 PM,MIA,DAL,14,41,,1.0,41.0,F,,,,,,,,0,14,0,0,0,7,20,14,0,0,True,False,True,True,True,True,True,False,,Final,17,8/21/2016 10:52:40 PM,,,,,,,,-116,-105,False,False
201620229,2,2016,2,8/19/2016 9:00:00 PM,ARI,SD,3,19,,1.5,40.0,F,,,,,,,,0,0,0,3,0,10,6,3,0,0,True,False,True,True,True,True,True,False,,Final,14,8/21/2016 10:52:51 PM,,,,,,,,-125,105,False,False
201620234,2,2016,2,8/20/2016 3:00:00 PM,CAR,TEN,26,16,,1.5,39.5,F,,,,,,,,10,3,6,7,0,0,7,3,6,0,True,False,True,True,True,True,True,False,,Final,12,8/21/2016 10:53:11 PM,,,,,,,,-135,115,False,False
201620204,2,2016,2,8/20/2016 4:00:00 PM,NYG,BUF,0,21,,-3.0,40.5,F,,,,,,,,0,0,0,0,0,0,21,0,0,0,True,False,True,True,True,True,True,False,,Final,1,8/21/2016 10:53:22 PM,,,,,,,,150,-170,False,False
201620214,2,2016,2,8/20/2016 7:00:00 PM,BAL,IND,19,18,,-2.5,39.0,F,,,,,,,,0,14,0,5,0,3,3,6,6,0,True,False,True,True,True,True,True,False,,Final,9,8/21/2016 10:53:43 PM,,,,,,,,125,-145,False,False
201620215,2,2016,2,8/20/2016 7:30:00 PM,TB,JAX,27,21,,-3.0,41.0,F,,,,,,,,0,17,0,10,0,7,7,0,7,0,True,False,True,True,True,True,True,False,,Final,10,8/21/2016 10:53:58 PM,,,,,,,,140,-175,False,False
201620213,2,2016,2,8/20/2016 8:00:00 PM,NO,HOU,9,16,,-1.0,41.5,F,,,,,,,,0,0,3,6,0,7,6,0,3,0,True,False,True,True,True,True,True,False,,Final,11,8/21/2016 10:54:19 PM,,,,,,,,100,-120,False,False
201620210,2,2016,2,8/20/2016 9:00:00 PM,SF,DEN,31,24,,-6.5,40.0,F,,,,,,,,0,17,0,14,0,7,3,7,7,0,True,False,True,True,True,True,True,False,,Final,13,8/21/2016 10:54:34 PM,,,,,,,,220,-270,False,False
201620232,2,2016,2,8/20/2016 9:00:00 PM,KC,LA,20,21,,1.0,39.5,F,,,,,,,,7,13,0,0,0,7,7,0,7,0,True,False,True,True,True,True,True,False,,Final,38,8/21/2016 10:54:48 PM,,,,,,,,-115,-105,False,False
201620319,2,2016,3,8/25/2016 8:00:00 PM,ATL,MIA,6,17,,-2.0,43.0,F,,,,,,,,0,3,3,0,0,0,7,10,0,0,True,False,True,True,True,True,True,False,,Final,2,8/30/2016 3:04:17 AM,,,,,,,,105,-125,False,True
201620330,2,2016,3,8/25/2016 10:00:00 PM,DAL,SEA,17,27,,-6.0,43.5,F,,,,,,,,7,3,0,7,0,0,10,17,0,0,True,False,True,True,True,True,True,False,,Final,31,8/30/2016 3:04:33 AM,,,,,,,,200,-250,False,True
201620305,2,2016,3,8/26/2016 7:30:00 PM,NE,CAR,19,17,,-3.0,44.5,F,,,,,,,,3,6,7,3,0,0,0,3,14,0,True,False,True,True,True,True,True,False,,Final,26,8/31/2016 2:45:45 AM,,,,,,,,135,-160,False,True
201620335,2,2016,3,8/26/2016 7:30:00 PM,BUF,WAS,16,21,,-3.5,42.5,F,,,,,,,,3,6,7,0,0,0,21,0,0,0,True,False,True,True,True,True,True,False,,Final,19,8/31/2016 2:51:12 AM,,,,,,,,165,-185,False,True
201620333,2,2016,3,8/26/2016 8:00:00 PM,CLE,TB,13,30,,-3.5,43.0,F,,,,,,,,3,7,3,0,0,17,10,0,3,0,True,False,True,True,True,True,True,False,,Final,24,8/31/2016 2:46:10 AM,,,,,,,,140,-175,False,True
201620322,2,2016,3,8/26/2016 8:00:00 PM,PIT,NO,27,14,,-3.0,44.5,F,,,,,,,,14,7,3,3,0,0,7,7,0,0,True,False,True,True,True,True,True,False,,Final,27,8/31/2016 2:46:27 AM,,,,,,,,150,-170,False,True
201620331,2,2016,3,8/26/2016 10:00:00 PM,GB,SF,21,10,,-3.0,44.0,F,,,,,,,,0,7,7,7,0,7,0,0,3,0,True,False,True,True,True,True,True,False,,Final,37,8/31/2016 2:47:02 AM,,,,,,,,135,-160,False,True
201620306,2,2016,3,8/27/2016 1:00:00 PM,KC,CHI,23,7,,2.5,41.0,F,,,,,,,,0,13,7,3,0,0,0,0,7,0,True,False,True,True,True,True,True,False,,Final,20,9/7/2016 2:07:43 PM,,,,,,,,-145,125,False,True
201620303,2,2016,3,8/27/2016 7:00:00 PM,DET,BAL,9,30,,-2.5,42.0,F,,,,,,,,0,6,0,3,0,3,17,3,7,0,True,False,True,True,True,True,True,False,,Final,7,9/1/2016 2:45:47 AM,,,,,,,,120,-141,False,True
201620314,2,2016,3,8/27/2016 7:00:00 PM,PHI,IND,33,23,,-1.5,44.0,F,,,,,,,,3,14,7,9,0,3,0,7,13,0,True,False,True,True,True,True,True,False,,Final,9,9/1/2016 2:46:13 AM,,,,,,,,105,-125,False,True
201620324,2,2016,3,8/27/2016 7:30:00 PM,NYG,NYJ,21,20,,1.0,42.5,F,,,,,,,,0,0,7,14,0,0,7,3,10,0,True,False,True,True,True,True,True,False,,Final,3,9/7/2016 2:08:17 PM,,,,,,,,-120,100,False,True
201620325,2,2016,3,8/27/2016 8:00:00 PM,TEN,OAK,27,14,,-3.0,41.0,F,,,,,,,,10,10,7,0,0,7,7,0,0,0,True,False,True,True,True,True,True,False,,Final,16,9/1/2016 2:47:08 AM,,,,,,,,152,-172,False,True
201620310,2,2016,3,8/27/2016 9:00:00 PM,LA,DEN,9,17,,-6.0,41.5,F,,,,,,,,3,6,0,0,0,0,10,7,0,0,True,False,True,True,True,True,True,False,,Final,13,9/1/2016 2:47:32 AM,,,,,,,,210,-260,False,True
201620320,2,2016,3,8/28/2016 1:00:00 PM,SD,MIN,10,23,,-6.5,40.0,F,,,,,,,,0,10,0,0,0,6,6,8,3,0,True,False,True,True,True,True,True,False,,Final,36,9/2/2016 2:46:44 AM,,,,,,,,230,-286,False,True
201620313,2,2016,3,8/28/2016 4:25:00 PM,ARI,HOU,24,34,,-1.0,40.0,F,,,,,,,,7,3,7,7,0,10,21,0,3,0,True,False,True,True,True,True,True,False,,Final,11,9/2/2016 2:47:10 AM,,,,,,,,100,-120,False,True
201620315,2,2016,3,8/28/2016 8:00:00 PM,CIN,JAX,21,26,,-2.5,42.5,F,,,,,,,,7,7,7,0,0,0,3,8,15,0,True,False,True,True,True,True,True,False,,Final,10,9/2/2016 2:47:40 AM,,,,,,,,120,-140,False,True
201620433,2,2016,4,8/31/2016 8:00:00 PM,WAS,TB,20,13,,-3.0,38.0,F,,,,,,,,3,10,7,0,0,0,0,3,10,0,True,False,True,True,True,True,True,False,,Final,24,9/5/2016 2:53:48 AM,,,,,,,,140,-160,False,True
201620402,2,2016,4,9/1/2016 7:00:00 PM,JAX,ATL,15,17,,-3.5,37.5,F,,,,,,,,7,0,0,8,0,0,17,0,0,0,True,False,True,True,True,True,True,False,,Final,25,9/4/2016 2:48:42 AM,,,,,,,,155,-175,False,True
201620419,2,2016,4,9/1/2016 7:00:00 PM,TEN,MIA,21,10,,-2.5,37.5,F,,,,,,,,14,7,0,0,0,0,7,3,0,0,True,False,True,True,True,True,True,False,,Final,2,9/4/2016 2:49:11 AM,,,,,,,,125,-145,False,True
201620423,2,2016,4,9/1/2016 7:00:00 PM,NE,NYG,9,17,,2.0,38.0,F,,,,,,,,6,0,0,3,0,0,3,7,7,0,True,False,True,True,True,True,True,False,,Final,3,9/5/2016 2:45:46 AM,,,,,,,,-135,115,False,True
201620426,2,2016,4,9/1/2016 7:00:00 PM,NYJ,PHI,6,14,,-3.5,37.0,F,,,,,,,,6,0,0,0,0,0,7,7,0,0,True,False,True,True,True,True,True,False,,Final,18,9/5/2016 2:46:33 AM,,,,,,,,155,-175,False,True
201620411,2,2016,4,9/1/2016 7:30:00 PM,BUF,DET,0,31,,-3.0,37.5,F,,,,,,,,0,0,0,0,0,10,7,7,7,0,True,False,True,True,True,True,True,False,,Final,21,9/5/2016 2:47:06 AM,,,,,,,,140,-175,False,True
201620407,2,2016,4,9/1/2016 7:30:00 PM,IND,CIN,13,10,,-3.0,38.0,F,,,,,,,,0,0,3,10,0,0,0,3,7,0,True,False,True,True,True,True,True,False,,Final,5,9/5/2016 2:47:41 AM,,,,,,,,145,-165,False,True
201620405,2,2016,4,9/1/2016 7:30:00 PM,PIT,CAR,6,18,,-4.0,37.5,F,,,,,,,,0,0,0,6,0,3,9,3,3,0,True,False,True,True,True,True,True,False,,Final,26,9/5/2016 2:48:19 AM,,,,,,,,165,-200,False,True
201620422,2,2016,4,9/1/2016 8:00:00 PM,BAL,NO,23,14,,-4.5,40.0,F,,,,,,,,0,16,0,7,0,6,0,0,8,0,True,False,True,True,True,True,True,False,,Final,27,9/5/2016 2:48:56 AM,,,,,,,,185,-215,False,True
201620408,2,2016,4,9/1/2016 8:00:00 PM,CHI,CLE,21,7,,-6.0,37.0,F,,,,,,,,3,9,3,6,0,7,0,0,0,0,True,False,True,True,True,True,True,False,,Final,6,9/5/2016 2:49:35 AM,,,,,,,,190,-250,False,True
201620416,2,2016,4,9/1/2016 8:00:00 PM,GB,KC,7,17,,-4.0,37.0,F,,,,,,,,7,0,0,0,0,0,17,0,0,0,True,False,True,True,True,True,True,False,,Final,15,9/5/2016 2:50:18 AM,,,,,,,,155,-200,False,True
201620420,2,2016,4,9/1/2016 8:00:00 PM,LA,MIN,25,27,,0.0,35.0,F,,,,,,,,7,0,3,15,0,0,13,7,7,0,True,False,True,True,True,True,True,False,,Final,36,9/5/2016 2:50:55 AM,,,,,,,,-110,-110,False,True
201620409,2,2016,4,9/1/2016 8:00:00 PM,HOU,DAL,28,17,,3.0,36.5,F,,,,,,,,0,14,7,7,0,7,3,7,0,0,True,False,True,True,True,True,True,False,,Final,17,9/5/2016 2:51:38 AM,,,,,,,,-170,145,False,True
201620401,2,2016,4,9/1/2016 9:30:00 PM,DEN,ARI,17,38,,-4.0,37.0,F,,,,,,,,10,0,7,0,0,7,13,3,15,0,True,False,True,True,True,True,True,False,,Final,29,9/5/2016 2:52:14 AM,,,,,,,,165,-200,False,True
201620425,2,2016,4,9/1/2016 10:00:00 PM,SEA,OAK,23,21,,-1.5,38.0,F,,,,,,,,0,0,3,20,0,0,2,3,16,0,True,False,True,True,True,True,True,False,,Final,16,9/5/2016 2:52:54 AM,,,,,,,,105,-125,False,True
201620429,2,2016,4,9/1/2016 10:00:00 PM,SF,SD,31,21,,-1.0,38.5,F,,,,,,,,6,3,0,22,0,0,7,14,0,0,True,False,True,True,True,True,True,False,,Final,14,9/5/2016 2:53:38 AM,,,,,,,,-110,-110,False,True
